GERACOES DAS PEQUENAS USINAS: SUBSISTEMA  1
-----------------------------------------------------------------------------------------------------------------------------------------------------------
SS MH EOLIC HIDRA SOLAR TERMI 11111 EOLIC HIDRA SOLAR TERMI 22222 EOLIC HIDRA SOLAR TERMI 33333 EOLIC HIDRA SOLAR TERMI 44444 EOLIC HIDRA SOLAR TERMI 55555
-----------------------------------------------------------------------------------------------------------------------------------------------------------
 1  1     0     0     0     0     0    12  1476     0  3775  5263    12  1476     0  3775  5263    12  1476     0  3775  5263    12  1476     0  3775  5263
 1  2     0     0     0     0     0    12  1465     0  3772  5249    12  1465     0  3772  5249    12  1465     0  3772  5249    12  1465     0  3772  5249
 1  3     0     0     0     0     0    12  1453     0  3777  5242    12  1453     0  3777  5242    12  1453     0  3777  5242    12  1453     0  3777  5242
 1  4     0     0     0     0     0    11  1449     0  3780  5240    11  1449     0  3780  5240    11  1449     0  3780  5240    11  1449     0  3780  5240
 1  5     0     0     0     0     0    11  1449     0  3786  5246    11  1449     0  3786  5246    11  1449     0  3786  5246    11  1449     0  3786  5246
 1  6     0     0     0     0     0    11  1449     0  3793  5253    11  1449     0  3793  5253    11  1449     0  3793  5253    11  1449     0  3793  5253
 1  7     0     0     0     0     0    11  1448     0  3796  5255    11  1448     0  3796  5255    11  1448     0  3796  5255    11  1448     0  3796  5255
 1  8     0     0     0     0     0    10  1448     0  3797  5255    10  1448     0  3797  5255    10  1448     0  3797  5255    10  1448     0  3797  5255
 1  9     0     0     0     0     0    10  1449     0  3798  5257    10  1449     0  3798  5257    10  1449     0  3798  5257    10  1449     0  3798  5257
 1 10     0     0     0     0     0    10  1449     0  3799  5258    10  1449     0  3799  5258    10  1449     0  3799  5258    10  1449     0  3799  5258
 1 11     0     0     0     0     0    10  1449     0  3800  5259    10  1449     0  3800  5259    10  1449     0  3800  5259    10  1449     0  3800  5259
 1 12     0     0     0     0     0    10  1449     2  3792  5253    10  1449     2  3792  5253    10  1449     2  3792  5253    10  1449     2  3792  5253
 1 13     0     0     0     0     0     9  1449    10  3790  5258     9  1449    10  3790  5258     9  1449    10  3790  5258     9  1449    10  3790  5258
 1 14     0     0     0     0     0    10  1453    41  3775  5279    10  1453    41  3775  5279    10  1453    41  3775  5279    10  1453    41  3775  5279
 1 15     0     0     0     0     0    10  1464   205  3766  5445    10  1464   205  3766  5445    10  1464   205  3766  5445    10  1464   205  3766  5445
 1 16     0     0     0     0     0    10  1471   441  3747  5669    10  1471   441  3747  5669    10  1471   441  3747  5669    10  1471   441  3747  5669
 1 17     0     0     0     0     0    11  1476   658  3721  5866    11  1476   658  3721  5866    11  1476   658  3721  5866    11  1476   658  3721  5866
 1 18     0     0     0     0     0    11  1479   787  3702  5979    11  1479   787  3702  5979    11  1479   787  3702  5979    11  1479   787  3702  5979
 1 19     0     0     0     0     0    10  1479   866  3691  6046    10  1479   866  3691  6046    10  1479   866  3691  6046    10  1479   866  3691  6046
 1 20     0     0     0     0     0    10  1481   909  3686  6086    10  1481   909  3686  6086    10  1481   909  3686  6086    10  1481   909  3686  6086
 1 21     0     0     0     0     0    10  1481   929  3681  6101    10  1481   929  3681  6101    10  1481   929  3681  6101    10  1481   929  3681  6101
 1 22     0     0     0     0     0    10  1484   940  3682  6116    10  1484   940  3682  6116    10  1484   940  3682  6116    10  1484   940  3682  6116
 1 23     0     0     0     0     0    10  1486   950  3678  6124    10  1486   950  3678  6124    10  1486   950  3678  6124    10  1486   950  3678  6124
 1 24     0     0     0     0     0    10  1481   955  3668  6114    10  1481   955  3668  6114    10  1481   955  3668  6114    10  1481   955  3668  6114
 1 25     0     0     0     0     0    10  1479   958  3659  6106    10  1479   958  3659  6106    10  1479   958  3659  6106    10  1479   958  3659  6106
 1 26     0     0     0     0     0    10  1487   957  3656  6110    10  1487   957  3656  6110    10  1487   957  3656  6110    10  1487   957  3656  6110
 1 27     0     0     0     0     0    10  1495   951  3647  6103    10  1495   951  3647  6103    10  1495   951  3647  6103    10  1495   951  3647  6103
 1 28     0     0     0     0     0    10  1495   942  3646  6093    10  1495   942  3646  6093    10  1495   942  3646  6093    10  1495   942  3646  6093
 1 29     0     0     0     0     0    11  1497   928  3635  6071    11  1497   928  3635  6071    11  1497   928  3635  6071    11  1497   928  3635  6071
 1 30     0     0     0     0     0    11  1510   906  3630  6057    11  1510   906  3630  6057    11  1510   906  3630  6057    11  1510   906  3630  6057
 1 31     0     0     0     0     0    11  1527   865  3627  6030    11  1527   865  3627  6030    11  1527   865  3627  6030    11  1527   865  3627  6030
 1 32     0     0     0     0     0    11  1535   783  3629  5958    11  1535   783  3629  5958    11  1535   783  3629  5958    11  1535   783  3629  5958
 1 33     0     0     0     0     0    11  1558   625  3633  5827    11  1558   625  3633  5827    11  1558   625  3633  5827    11  1558   625  3633  5827
 1 34     0     0     0     0     0    11  1585   404  3640  5640    11  1585   404  3640  5640    11  1585   404  3640  5640    11  1585   404  3640  5640
 1 35     0     0     0     0     0    11  1613   147  3651  5422    11  1613   147  3651  5422    11  1613   147  3651  5422    11  1613   147  3651  5422
 1 36     0     0     0     0     0    11  1627    22  3658  5318    11  1627    22  3658  5318    11  1627    22  3658  5318    11  1627    22  3658  5318
 1 37     0     0     0     0     0    11  1639     3  3671  5324    11  1639     3  3671  5324    11  1639     3  3671  5324    11  1639     3  3671  5324
 1 38     0     0     0     0     0    12  1638     0  3673  5323    12  1638     0  3673  5323    12  1638     0  3673  5323    12  1638     0  3673  5323
 1 39     0     0     0     0     0    12  1630     0  3679  5321    12  1630     0  3679  5321    12  1630     0  3679  5321    12  1630     0  3679  5321
 1 40     0     0     0     0     0    12  1627     0  3686  5325    12  1627     0  3686  5325    12  1627     0  3686  5325    12  1627     0  3686  5325
 1 41     0     0     0     0     0    12  1624     0  3696  5332    12  1624     0  3696  5332    12  1624     0  3696  5332    12  1624     0  3696  5332
 1 42     0     0     0     0     0    12  1616     0  3704  5332    12  1616     0  3704  5332    12  1616     0  3704  5332    12  1616     0  3704  5332
 1 43     0     0     0     0     0    13  1598     0  3716  5327    13  1598     0  3716  5327    13  1598     0  3716  5327    13  1598     0  3716  5327
 1 44     0     0     0     0     0    13  1574     0  3728  5315    13  1574     0  3728  5315    13  1574     0  3728  5315    13  1574     0  3728  5315
 1 45     0     0     0     0     0    12  1547     0  3745  5304    12  1547     0  3745  5304    12  1547     0  3745  5304    12  1547     0  3745  5304
 1 46     0     0     0     0     0    12  1531     0  3750  5293    12  1531     0  3750  5293    12  1531     0  3750  5293    12  1531     0  3750  5293
 1 47     0     0     0     0     0    12  1510     0  3759  5281    12  1510     0  3759  5281    12  1510     0  3759  5281    12  1510     0  3759  5281
 1 48     0     0     0     0     0    12  1489     0  3770  5271    12  1489     0  3770  5271    12  1489     0  3770  5271    12  1489     0  3770  5271
-----------------------------------------------------------------------------------------------------------------------------------------------------------
GERACOES DAS PEQUENAS USINAS: SUBSISTEMA  2
-----------------------------------------------------------------------------------------------------------------------------------------------------------
SS MH EOLIC HIDRA SOLAR TERMI 11111 EOLIC HIDRA SOLAR TERMI 22222 EOLIC HIDRA SOLAR TERMI 33333 EOLIC HIDRA SOLAR TERMI 44444 EOLIC HIDRA SOLAR TERMI 55555
-----------------------------------------------------------------------------------------------------------------------------------------------------------
 2  1     0     0     0     0     0   251   995     0   253  1499   751   995     0   253  1999   940   995     0   253  2188   594   995     0   253  1842
 2  2     0     0     0     0     0   247   986     0   256  1489   690   986     0   256  1932   991   986     0   256  2233   558   986     0   256  1800
 2  3     0     0     0     0     0   243   981     0   253  1477   644   981     0   253  1878  1043   981     0   253  2277   523   981     0   253  1757
 2  4     0     0     0     0     0   248   979     0   253  1480   611   979     0   253  1843  1081   979     0   253  2313   497   979     0   253  1729
 2  5     0     0     0     0     0   258   978     0   255  1491   605   978     0   255  1838  1118   978     0   255  2351   474   978     0   255  1707
 2  6     0     0     0     0     0   263   978     0   254  1495   606   978     0   254  1838  1150   978     0   254  2382   452   978     0   254  1684
 2  7     0     0     0     0     0   270   978     0   255  1503   606   978     0   255  1839  1176   978     0   255  2409   435   978     0   255  1668
 2  8     0     0     0     0     0   269   978     0   259  1506   610   978     0   259  1847  1190   978     0   259  2427   410   978     0   259  1647
 2  9     0     0     0     0     0   261   978     0   260  1499   591   978     0   260  1829  1181   978     0   260  2419   392   978     0   260  1630
 2 10     0     0     0     0     0   255   978     0   256  1489   569   978     0   256  1803  1163   978     0   256  2397   369   978     0   256  1603
 2 11     0     0     0     0     0   265   979     0   251  1495   548   979     0   251  1778  1123   979     0   251  2353   350   979     0   251  1580
 2 12     0     0     0     0     0   271   979     0   250  1500   523   979     0   250  1752  1096   979     0   250  2325   336   979     0   250  1565
 2 13     0     0     0     0     0   279   978     0   253  1510   512   978     0   253  1743  1082   978     0   253  2313   321   978     0   253  1552
 2 14     0     0     0     0     0   289   981     0   258  1528   505   981     0   258  1744  1092   981     0   258  2331   315   981     0   258  1554
 2 15     0     0     0     0     0   291   985     0   254  1530   491   985     0   254  1730  1096   985     0   254  2335   310   985     0   254  1549
 2 16     0     0     0     0     0   284   992     0   247  1523   477   992     0   247  1716  1101   992     0   247  2340   305   992     0   247  1544
 2 17     0     0     0     0     0   270   998     0   252  1520   460   998     0   252  1710  1079   998     0   252  2329   290   998     0   252  1540
 2 18     0     0     0     0     0   265  1004     0   252  1521   421  1004     0   252  1677  1044  1004     0   252  2300   268  1004     0   252  1524
 2 19     0     0     0     0     0   267  1004     0   249  1520   383  1004     0   249  1636  1025  1004     0   249  2278   239  1004     0   249  1492
 2 20     0     0     0     0     0   280  1004     0   248  1532   348  1004     0   248  1600  1030  1004     0   248  2282   229  1004     0   248  1481
 2 21     0     0     0     0     0   296  1005     0   252  1553   325  1005     0   252  1582  1046  1005     0   252  2303   219  1005     0   252  1476
 2 22     0     0     0     0     0   310  1005     0   256  1571   306  1005     0   256  1567  1066  1005     0   256  2327   222  1005     0   256  1483
 2 23     0     0     0     0     0   320  1005     0   256  1581   297  1005     0   256  1558  1081  1005     0   256  2342   224  1005     0   256  1485
 2 24     0     0     0     0     0   328  1004     0   255  1587   309  1004     0   255  1568  1105  1004     0   255  2364   226  1004     0   255  1485
 2 25     0     0     0     0     0   335  1004     0   251  1590   315  1004     0   251  1570  1132  1004     0   251  2387   229  1004     0   251  1484
 2 26     0     0     0     0     0   354  1008     0   257  1619   328  1008     0   257  1593  1142  1008     0   257  2407   221  1008     0   257  1486
 2 27     0     0     0     0     0   373  1012     0   255  1640   339  1012     0   255  1606  1133  1012     0   255  2400   219  1012     0   255  1486
 2 28     0     0     0     0     0   395  1013     0   255  1663   345  1013     0   255  1613  1094  1013     0   255  2362   209  1013     0   255  1477
 2 29     0     0     0     0     0   424  1018     0   255  1697   371  1018     0   255  1644  1032  1018     0   255  2305   205  1018     0   255  1478
 2 30     0     0     0     0     0   448  1025     0   253  1726   388  1025     0   253  1666   968  1025     0   253  2246   202  1025     0   253  1480
 2 31     0     0     0     0     0   460  1037     0   260  1757   416  1037     0   260  1713   922  1037     0   260  2219   205  1037     0   260  1502
 2 32     0     0     0     0     0   464  1046     0   264  1774   437  1046     0   264  1747   892  1046     0   264  2202   204  1046     0   264  1514
 2 33     0     0     0     0     0   469  1058     0   262  1789   455  1058     0   262  1775   885  1058     0   262  2205   204  1058     0   262  1524
 2 34     0     0     0     0     0   478  1069     0   266  1813   476  1069     0   266  1811   894  1069     0   266  2229   210  1069     0   266  1545
 2 35     0     0     0     0     0   500  1087     0   267  1854   514  1087     0   267  1868   886  1087     0   267  2240   219  1087     0   267  1573
 2 36     0     0     0     0     0   555  1106     0   267  1928   559  1106     0   267  1932   859  1106     0   267  2232   231  1106     0   267  1604
